"HOOD_ID","AREA_NAME","ASSAULT_RATE_2023","AUTOTHEFT_RATE_2023","BREAKENTER_RATE_2023","ROBBERY_RATE_2023","THEFTOVER_RATE_2023","Green.Spaces","TOTAL_CRIMES"
1,"West Humber-Clairville",884.9071045,2278.223633,582.6096802,211.6082153,219.8526917,2.078835532,4177.2013247
2,"Mount Olive-Silverstone-Jamestown",839.3150024,429.5484009,67.82343292,152.6027222,31.08574104,1.048870056,1520.37529946
3,"Thistletown-Beaumond Heights",626.7806396,455.8404541,218.4235535,123.4567871,132.9534607,0.939107957,1557.454895
4,"Rexdale-Kipling",708.822998,690.1697388,149.2258911,223.8388367,37.30647278,0.240663012,1809.36393738
5,"Elms-Old Rexdale",617.1590576,404.694458,161.8777771,141.6430664,40.46944427,0.730089694,1365.84380337
6,"Kingsview Village-The Westway",663.4738159,492.1130066,175.7546539,101.0589218,35.1509285,0.310186768,1467.5513267
7,"Willowridge-Martingrove-Richview",510.4369812,435.7388916,128.6467133,70.54820251,12.44968224,0.348688375,1157.82047085
8,"Humber Heights-Westmount",464.993866,219.336731,114.0550995,52.64081573,17.54693794,0.431646057,868.57345017
9,"Edenbridge-Humber Valley",306.8728027,665.8560791,364.7733154,40.5303688,28.95026398,0.544804291,1406.98282998
10,"Princess-Rosethorn",199.1714478,916.1886597,501.9120483,95.60229492,39.83428955,0.220794818,1752.70874027
11,"Eringate-Centennial-West Deane",460.1697388,613.5596924,158.5029144,66.46896362,15.33899212,2.891261519,1314.04030134
12,"Markland Wood",418.9554138,465.506012,139.6517944,37.24047852,9.310119629,0.224255343,1070.663818349
13,"Etobicoke West Mall",519.1536255,487.6897583,94.39157104,7.865963936,39.32981873,0.147624711,1148.430737506
15,"Kingsway South",633.713562,857.9506836,536.2191772,77.99551392,58.49663544,0.295550892,2164.37557216
16,"Stonegate-Queensway",512.571106,553.7264404,377.8808594,67.34510803,41.1553421,0.755267148,1552.67885593
18,"New Toronto",1376.485107,311.3478088,311.3478088,131.093811,40.96681595,0.593630152,2171.24135155
19,"Long Branch",827.5148926,318.9380188,232.7385559,60.33962631,17.23989296,0.323676887,1456.77098657
20,"Alderwood",325.8535156,355.4765625,148.1152344,59.24609375,59.24609375,0.292452196,947.9375
21,"Humber Summit",1229.050293,975.7914429,670.3910522,186.2197418,312.8491516,0.686271868,3374.3016815
22,"Humbermede",959.6813354,736.3592529,175.0362091,84.50024414,66.39304352,0.918793036,2021.97008506
23,"Pelmo Park-Humberlea",858.0150146,833.2645874,189.7533264,107.2518768,49.50086594,0.636607684,2037.78567114
24,"Black Creek",1002.299622,360.1336365,125.8298264,121.4908676,56.40647507,0.410027147,1666.16042757
25,"Glenfield-Jane Heights",1013.922058,368.9808044,133.3291931,96.12104797,83.71833801,0.808033611,1696.07144148
27,"York University Heights",1368.030273,879.6869507,729.170166,354.5506287,133.7926941,0.887333748,3465.2307125
28,"Rustic",855.4401855,326.7973938,182.6220703,19.22337532,19.22337532,0.19744749,1403.30640024
29,"Maple Leaf",472.8132324,463.3569641,160.7565002,47.28132248,9.456264496,0.167833165,1153.664283676
30,"Brookhaven-Amesbury",885.9003296,394.9194031,208.1332092,160.1024628,48.03073883,0.405956959,1697.08614353
31,"Yorkdale-Glen Park",1199.443726,1153.088379,892.3397827,428.7866516,254.9542236,0.236609421,3928.6127629
32,"Englemount-Lawrence",510.9339905,277.9480896,200.2861176,69.4870224,28.61230278,0.20662549,1087.26752288
33,"Clanton Park",701.9749756,806.7473145,356.2261047,83.81790924,57.62480927,0.097684055,2006.39111331
34,"Bathurst Manor",509.9971008,440.4520569,243.4077148,92.72674561,23.1816864,1.311810051,1309.76530451
35,"Westminster-Branson",428.9524841,306.3946228,104.5346375,14.41857147,25.23250008,0.958620906,879.53281595
36,"Newtonbrook West",761.4696655,814.772522,197.9821014,114.2204437,53.30287552,0.16749045,1941.74760812
37,"Willowdale West",588.3556519,301.8520508,204.6454468,194.4131775,56.27750015,0.145828928,1345.54382715
38,"Lansing-Westgate",497.9856873,632.2739258,324.5299988,134.288269,44.76275635,0.983552249,1633.84063725
39,"Bedford Park-Nortown",203.2599792,895.1256714,476.8791809,46.906147,50.81499481,0.091683395,1672.98597331
40,"St.Andrew-Windfields",287.0576477,673.100708,445.4342957,74.23905182,59.39123917,0.541326375,1539.22294239
41,"Bridle Path-Sunnybrook-York Mills",448.3048401,747.1747437,896.6096802,28.01905251,74.71747589,1.732820954,2194.8257924
42,"Banbury-Don Mills",425.1618652,483.1384583,318.8713989,77.30215454,45.09292221,1.279334149,1349.56679915
43,"Victoria Village",785.2839966,290.4475098,139.8450928,86.05851746,59.16523361,0.682855326,1360.80035027
44,"Flemingdon Park",711.0921631,166.063446,102.1928864,55.35448074,21.29018593,0.763803897,1055.99316217
46,"Pleasant View",310.7817383,268.9457397,101.6017227,83.6720047,29.88285828,0.155828919,794.88406368
47,"Don Valley Village",564.1652832,547.1723633,152.9363708,101.9575882,47.58020782,0.2393423,1413.81181332
48,"Hillcrest Village",376.1894226,403.8504028,221.2879028,71.91856384,44.2575798,0.386535486,1117.50387184
49,"Bayview Woods-Steeles",439.8504639,249.2485962,197.9327087,51.31588745,7.330841064,0.910849666,945.678497314
50,"Newtonbrook East",501.7879944,432.5758362,207.6363983,115.3535614,86.51516724,0.180901122,1343.86895754
52,"Bayview Village",533.3852539,373.7590027,256.9593201,35.03990555,70.0798111,1.121266472,1269.22329335
53,"Henry Farm",469.6690369,294.0918274,109.7357559,57.06259155,43.89430237,0.212016651,974.45351412
54,"O'Connor-Parkview",668.3081055,306.5172729,221.0944214,15.07461929,30.14923859,1.071735422,1241.14365768
55,"Thorncliffe Park",568.6867065,244.3575592,217.7003784,53.31437683,35.54291916,0.596240135,1119.60194009
56,"Leaside-Bennington",208.9634247,615.8922119,269.4528503,27.49518776,49.49134064,0.797010748,1171.2950153
57,"Broadview North",663.9344482,139.3442688,180.3278656,24.59016418,24.59016418,0.399753886,1032.78691096
58,"Old East York",660.3773804,335.4297791,73.3752594,62.89308167,10.4821806,0.293560692,1142.55768117
59,"Danforth East York",570.3740845,285.1870422,67.10283661,22.36761093,22.36761093,0.070298427,967.39918517
60,"Woodbine-Lumsden",393.072113,196.5360565,147.4020386,NA,49.13401413,0.098423722,0
61,"Taylor-Massey",891.2545776,173.2994995,111.4068222,173.2994995,18.56780434,0.198037905,1367.82820314
62,"East End-Danforth",947.3729858,217.287384,191.2128906,73.87770844,30.42023468,0.126726419,1460.17120352
63,"The Beaches",489.2410278,251.1148682,168.8531036,69.27306366,69.27306366,0.614909147,1047.75512692
64,"Woodbine Corridor",767.956604,240.9275665,188.2246704,52.70290756,22.58695984,0.104449371,1272.3987083
65,"Greenwood-Coxwell",824.675354,188.3116913,149.350647,45.45454407,19.48052025,0.087044064,1227.27275662
66,"Danforth",1297.552368,245.7485504,226.0886688,206.4287872,49.14971161,0.001837121,2024.96808601
67,"Playter Estates-Danforth",1365.275635,412.1586914,321.9989624,231.8392639,NA,0.059229148,0
68,"North Riverdale",657.4622192,221.8934937,262.9848633,73.96450043,16.43655396,0.32216634,1232.74163059
69,"Blake-Jones",984.3237305,85.0650177,413.1729126,133.6735992,36.45643616,0.017038934,1652.69169616
70,"South Riverdale",1124.937744,268.7904358,321.8848572,146.0096283,89.59681702,2.776069153,1951.21948232
71,"Cabbagetown-South St.James Town",1094.585571,158.7566833,442.8475952,116.9786072,50.13368988,0.246257383,1863.30214658
72,"Regent Park",1129.464966,84.70986938,282.3662415,141.1831207,56.47324753,0.014814295,1694.19744511
73,"Moss Park",2823.434082,193.6326447,652.9472656,252.1727448,112.5771179,0.098698665,4034.763855
74,"North St.James Town",1346.867065,48.79953003,195.1981201,141.5186462,43.91957855,0.025782697,1776.30293988
78,"Kensington-Chinatown",2270.479004,235.5268707,683.0279541,216.6847229,136.6055908,0.066166444,3542.3241425
79,"University",1679.005859,92.54362488,727.128479,185.0872498,145.425705,0.005829924,2829.19091768
80,"Palmerston-Little Italy",523.8451538,95.2445755,238.1114349,142.8668671,54.42547226,0.03884142,1054.49350356
81,"Trinity-Bellwoods",780.2851563,157.1797485,409.7900391,140.3390656,50.52206039,0.17939058,1538.11606989
83,"Dufferin Grove",1164.529053,141.6319122,283.2638245,228.1847534,62.9475174,0.078001154,1880.5570605
84,"Little Portugal",741.421936,132.1914978,183.9186096,86.21185303,57.47456741,0.016534602,1201.21846384
85,"South Parkdale",1405.395996,186.5186157,273.2714539,99.76576996,91.09048462,0.45833344,2056.04232018
86,"Roncesvalles",853.2530518,175.6697388,301.1481323,131.7523041,31.36959648,0.039249551,1493.19282348
87,"High Park-Swansea",405.5863647,206.6194763,198.9669037,34.43658066,38.26286697,1.832356973,883.87219233
88,"High Park North",764.0761719,167.5247192,220.6423187,98.06324768,16.34387589,0.058883025,1266.65033337
89,"Runnymede-Bloor West Village",538.4329834,389.8997498,287.7831421,167.099884,55.69996262,0.012453777,1438.91572192
90,"Junction Area",891.6863403,301.5997925,445.8431702,124.5738297,59.00865555,0.09520802,1822.71178825
91,"Weston-Pelham Park",965.1257324,170.3162994,308.1914063,48.66180038,32.44120026,0.036219298,1524.73643874
92,"Corso Italia-Davenport",994.3181763,263.7987061,277.3268433,128.5173187,81.16883087,0.126546218,1745.12987527
94,"Wychwood",609.213501,177.9724884,280.6489258,171.1273804,6.845095634,0.064319715,1245.807391234
95,"Annex",1147.759521,234.7689972,399.9768066,194.1916351,182.598114,0.11249685,2159.2950739
96,"Casa Loma",467.7580872,350.818573,392.5827026,125.2923508,50.11693954,0.173001423,1386.56865314
97,"Yonge-St.Clair",250.8421173,272.342865,258.0090332,14.33383465,14.33383465,0.02470925,809.8616848
98,"Rosedale-Moore Park",1175.552002,620.3096924,438.1208496,104.1079254,99.77009583,0.793670753,2437.86056523
99,"Mount Pleasant East",425.790741,315.1957397,110.5950012,44.23799896,27.64875031,0.087790047,923.46823117
100,"Yonge-Eglinton",756.7489014,291.057251,240.1222382,87.31717682,109.1464767,0.127074744,1484.39204412
101,"Forest Hill South",353.6184082,773.0263062,616.7763062,8.223684311,24.67105293,0.120135194,1776.315757841
102,"Forest Hill North",478.287262,402.3686523,349.2256165,68.32675171,22.77558517,0.108893972,1320.98386768
103,"Lawrence Park South",196.686142,715.22229,345.6907959,41.72130203,35.76111603,0.193230593,1335.08164596
105,"Lawrence Park North",205.3783417,519.8639526,211.7964172,38.50843811,44.92651367,0.040585045,1020.47366328
106,"Humewood-Cedarvale",345.7106323,339.3085938,243.2778473,6.402048588,19.20614624,0.223360898,953.905268228
107,"Oakwood Village",499.9107361,258.8823547,160.6855927,58.02535248,13.39046574,0.049076804,990.89450172
108,"Briar Hill-Belgravia",587.6138916,244.2889252,250.8913269,145.2528687,52.81922531,0.079464109,1280.86623771
109,"Caledonia-Fairbank",595.4068604,311.8797913,132.3126373,37.80361176,18.90180588,0.029773559,1096.30470664
110,"Keelesdale-Eglinton West",935.7506714,284.0671692,242.2925873,217.2278442,25.06475067,0.135732361,1704.40302277
111,"Rockcliffe-Smythe",767.4924316,319.7885132,225.9838867,85.27693939,46.90231705,0.552890991,1445.44408794
112,"Beechborough-Greenbrook",1161.966797,325.9175415,340.0878601,170.0439301,99.19229126,0.207527138,2097.20841996
113,"Weston",1226.715088,535.1102905,307.9408264,181.7355804,20.19284248,0.240153499,2271.69462778
114,"Lambton Baby Point",373.7641602,241.1381683,180.8536224,60.28454208,24.11381721,0.440985674,880.15431019
115,"Mount Dennis",855.7800293,385.8024597,217.452301,63.13131332,49.10213089,0.672325001,1571.26823421
116,"Steeles",185.6412201,238.6815643,102.292099,26.52017403,3.788596392,0.450219119,556.923653822
118,"Tam O'Shanter-Sullivan",456.8357544,335.9086304,144.4407196,70.54080963,16.79543114,0.348352702,1024.52134517
119,"Wexford/Maryvale",870.4385376,679.6116333,257.7837219,103.7830582,63.60897064,0.47116816,1975.22592164
120,"Clairlea-Birchmount",965.8814697,423.8760376,204.9892273,76.43666077,34.74393845,0.418068747,1705.92733382
121,"Oakridge",1397.101807,142.959259,188.4462891,129.9629669,25.99259186,0.25345683,1884.46291386
122,"Birchcliffe-Cliffside",892.5139771,303.1985168,149.4640656,55.51522446,29.89281273,0.616075255,1430.58459669
123,"Cliffcrest",1021.09137,334.7840576,133.91362,72.5365448,11.15946865,1.432132979,1573.48506105
124,"Kennedy Park",1744.345947,247.6201019,225.6094208,181.5880737,66.0320282,0.119007268,2465.1955716
125,"Ionview",892.2880859,240.7761536,106.2247696,28.32660484,14.16330242,0.13033001,1281.77891636
126,"Dorset Park",829.3388062,372.8220215,251.0842285,114.1291962,91.30335236,0.173972028,1658.67760476
128,"Agincourt South-Malvern West",679.7879028,452.0055542,238.4596252,64.06378174,39.15008545,0.2397495,1473.46694939
129,"Agincourt North",262.3160706,380.6781921,140.7549591,47.98464584,15.99488163,0.250098151,847.72874927
130,"Milliken",313.7006226,1050.368286,271.4039001,130.414856,84.59342194,0.512021903,1850.48108664
133,"Centennial Scarborough",266.9587097,314.8743896,116.3666229,47.91566849,13.69019127,0.830824845,759.80558196
134,"Highland Creek",461.3942871,432.5571289,100.9300003,21.62785721,14.41857147,0.194054785,1030.92784498
135,"Morningside",709.5271606,270.8118896,43.32990265,16.24871445,16.24871445,1.854249005,1056.16638175
136,"West Hill",1514.064087,276.8378906,184.5585938,191.394104,68.35503387,1.993607468,2235.20970927
138,"Eglinton East",693.3267212,202.2202911,218.7280731,136.1891785,33.01556015,0.233048669,1283.47982405
139,"Scarborough Village",863.7723999,259.6962585,203.2405548,135.4936981,22.58228493,0.28632843,1484.78519623
140,"Guildwood",542.0054321,222.609375,87.10801697,9.678668022,38.71467209,0.697039334,900.116164182
